Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
02649;ROCOURT ST MARTIN;02210;;ROCOURT ST MARTIN;49.1453872803,3.3891401292
02670;ST ALGIS;02260;;ST ALGIS;49.8944330304,3.82546447463
02672;ST BANDRY;02290;;ST BANDRY;49.3638994868,3.14949009826
02675;STE CROIX;02820;;STE CROIX;49.4800538584,3.78129682642
02676;ST ERME OUTRE ET RAMECOURT;02820;;ST ERME OUTRE ET RAMECOURT;49.5182833727,3.86386406835
02680;ST GOBAIN;02410;;ST GOBAIN;49.5953887213,3.39411143672
02681;ST GOBERT;02140;;ST GOBERT;49.8037605968,3.83219152047
02685;ST NICOLAS AUX BOIS;02410;;ST NICOLAS AUX BOIS;49.5970302282,3.43898003392
02695;ST THIBAUT;02220;;ST THIBAUT;49.2891405131,3.61650327087
02699;SAPONAY;02130;;SAPONAY;49.2143831516,3.48437985358
02701;SAULCHERY;02310;;SAULCHERY;48.9756405479,3.31260850509
02716;SERVAIS;02700;;SERVAIS;49.6194083182,3.34197325752
02720;SISSONNE;02150;;SISSONNE;49.5639648451,3.92032139579
02728;SORBAIS;02580;;SORBAIS;49.9137614487,3.88302482521
02749;TROESNES;02460;;TROESNES;49.1981484588,3.1768274022
02754;UGNY LE GAY;02300;;UGNY LE GAY;49.6610045264,3.15663213439
02757;VADENCOURT;02120;;VADENCOURT;49.9229771613,3.57386118846
02758;VAILLY SUR AISNE;02370;;VAILLY SUR AISNE;49.4108623288,3.52012059802
02759;LA VALLEE AU BLE;02140;;LA VALLEE AU BLE;49.8571725081,3.794382858
02779;VENEROLLES;02510;;VENEROLLES;49.9903433031,3.63008652624
02780;VENIZEL;02200;;VENIZEL;49.3676425771,3.39248543249
02794;VEZILLY;02130;;VEZILLY;49.1874443601,3.68274149419
02802;LA VILLE AUX BOIS LES DIZY;02340;;LA VILLE AUX BOIS LES DIZY;49.6626572968,3.98152083729
02803;LA VILLE AUX BOIS LES PONTAVERT;02160;;LA VILLE AUX BOIS LES PONTAVERT;49.4265972983,3.85108262844
02807;VILLEQUIER AUMONT;02300;;VILLEQUIER AUMONT;49.6606240148,3.19834244186
02812;VILLERS HELON;02600;;VILLERS HELON;49.2649355463,3.26786134731
02826;VOULPAIX;02140;;VOULPAIX;49.8387507375,3.83266238617
02827;VOYENNE;02250;;VOYENNE;49.7158793314,3.73841251024
02831;WATIGNY;02830;;WATIGNY;49.9163639357,4.20040317785
03006;ARFEUILLES;03120;;ARFEUILLES;46.1431515084,3.74329110559
03017;BARRAIS BUSSOLLES;03120;;BARRAIS BUSSOLLES;46.2837408507,3.69766013244
03028;BILLEZOIS;03120;;BILLEZOIS;46.2094826701,3.57688265252
03029;BILLY;03260;;BILLY;46.2315363963,3.43994128747
03039;BRESNAY;03210;;BRESNAY;46.4335692397,3.24899330539
03049;CESSET;03500;;CESSET;46.2993847548,3.19908944342
03054;CHAPEAU;03340;;CHAPEAU;46.4922208672,3.51548779612
03056;LA CHAPELLE;03300;;LA CHAPELLE;46.0889341496,3.5877712092
03057;LA CHAPELLE AUX CHASSES;03230;;LA CHAPELLE AUX CHASSES;46.6598285232,3.53021703178
03060;CHARMEIL;03110;;CHARMEIL;46.1598815241,3.39334670689
03067;CHATELPERRON;03220;;CHATELPERRON;46.3968658739,3.63313760873
03077;CHIRAT L EGLISE;03330;;CHIRAT L EGLISE;46.2460009301,3.03251610569
03079;CINDRE;03220;;CINDRE;46.3230930256,3.55110289744
03082;COMMENTRY;03600;;COMMENTRY;46.2787466852,2.74916734673
03083;CONTIGNY;03500;;CONTIGNY;46.3463711102,3.31483781041
03085;COULANDON;03000;;COULANDON;46.5546535461,3.24541387326
03086;COULANGES;03470;;COULANGES;46.4751096526,3.86330653833
03091;CRECHY;03150;;CRECHY;46.2696885601,3.42387984399
03095;CUSSET;03300;;CUSSET;46.1377738304,3.48296708451
03099;DEUX CHAISES;03240;;DEUX CHAISES;46.3749069193,3.04059198306
03100;DIOU;03290;;DIOU;46.5226236257,3.7367345302
03101;DOMERAT;03410;;DOMERAT;46.3681510176,2.54346219645
03104;DOYET;03170;;DOYET;46.3433946285,2.79161075003
03108;ECHASSIERES;03330;;ECHASSIERES;46.1956641038,2.94596916837
03114;LA FERTE HAUTERIVE;03340;;LA FERTE HAUTERIVE;46.396159353,3.3355449517
03115;FLEURIEL;03140;;FLEURIEL;46.2870292399,3.16169451004
03117;FRANCHESSE;03160;;FRANCHESSE;46.6436566411,3.03662004358
03120;GARNAT SUR ENGIEVRE;03230;;GARNAT SUR ENGIEVRE;46.6348166525,3.66797467464
03121;GENNETINES;03400;;GENNETINES;46.6296398798,3.40498318638
03128;HURIEL;03380;;HURIEL;46.3770986154,2.48198364823
03131;ISSERPENT;03120;;ISSERPENT;46.1542955213,3.61825876933
03135;LALIZOLLE;03450;;LALIZOLLE;46.1646303512,3.00825559496
03136;LAMAIDS;03380;;LAMAIDS;46.3040091673,2.43816762566
03137;LANGY;03150;;LANGY;46.2728774328,3.46181153336
03139;LAPRUGNE;03250;;LAPRUGNE;45.9937136705,3.76308018051
03140;LAVAULT STE ANNE;03100;;LAVAULT STE ANNE;46.3086016059,2.60160340266
03142;LENAX;03130;;LENAX;46.3039709752,3.83067027438
03143;LETELON;03360;;LETELON;46.6563542672,2.59495618457
03146;LIMOISE;03320;;LIMOISE;46.6841966516,3.05488887781
03150;LOUROUX BOURBONNAIS;03350;;LOUROUX BOURBONNAIS;46.5340787528,2.8385482758
03156;LUSIGNY;03230;;LUSIGNY;46.5717045071,3.48949898102
03158;HAUT BOCAGE;03190;LOUROUX HODEMENT;HAUT BOCAGE;46.4928636302,2.65852361334
03158;HAUT BOCAGE;03190;MAILLET;HAUT BOCAGE;46.4928636302,2.65852361334
03159;MALICORNE;03600;;MALICORNE;46.3072678602,2.77027684739
03160;MARCENAT;03260;;MARCENAT;46.237174267,3.39703242692
03165;LE MAYET DE MONTAGNE;03250;;LE MAYET DE MONTAGNE;46.0602181682,3.65546570851
03167;MAZIRAT;03420;;MAZIRAT;46.2185045574,2.55398563
03174;MOLLES;03300;;MOLLES;46.1150413617,3.55648495184
03176;MONETAY SUR ALLIER;03500;;MONETAY SUR ALLIER;46.3810175167,3.28932554471
03181;MONTCOMBROUX LES MINES;03130;;MONTCOMBROUX LES MINES;46.3606934499,3.72808957144
03189;MONTVICQ;03170;;MONTVICQ;46.315678912,2.82223124184
03202;NOYANT D ALLIER;03210;;NOYANT D ALLIER;46.4796760503,3.11878325467
03208;LE PIN;03130;;LE PIN;46.4222179747,3.88958660139
03213;REUGNY;03190;;REUGNY;46.458404964,2.61328894387
03214;ROCLES;03240;;ROCLES;46.4445146062,3.03677199137
03219;ST BONNET DE FOUR;03390;;ST BONNET DE FOUR;46.314979417,2.90455342628
03224;ST CLEMENT;03250;;ST CLEMENT;46.0577534847,3.7219179861
03229;ST ENNEMOND;03400;;ST ENNEMOND;46.6808991637,3.40446807688
03231;ST FARGEOL;03420;;ST FARGEOL;46.1343424286,2.63071732014
03233;ST GENEST;03310;;ST GENEST;46.2634149323,2.60320533651
03237;ST GERMAIN DE SALLES;03140;;ST GERMAIN DE SALLES;46.1871001813,3.22053975584
03243;ST MARCEL EN MURAT;03390;;ST MARCEL EN MURAT;46.3216708939,3.00484402977
03249;ST PALAIS;03370;;ST PALAIS;46.4403223251,2.30568571701
03251;ST PLAISIR;03160;;ST PLAISIR;46.6243818392,2.95587034653
03253;ST POURCAIN SUR BESBRE;03290;;ST POURCAIN SUR BESBRE;46.4817772858,3.64933142149
03254;ST POURCAIN SUR SIOULE;03500;;ST POURCAIN SUR SIOULE;46.3045094327,3.30537827054
03255;ST PRIEST D ANDELOT;03800;;ST PRIEST D ANDELOT;46.0765718864,3.15433929793
03261;STE THERENCE;03420;;STE THERENCE;46.2433906142,2.57271161868
03262;ST VICTOR;03410;;ST VICTOR;46.3882767935,2.60941319336
03277;TARGET;03140;;TARGET;46.2848407144,3.04794632227
03283;THIEL SUR ACOLIN;03230;;THIEL SUR ACOLIN;46.5311020411,3.57823760672
03285;TORTEZAIS;03430;;TORTEZAIS;46.4456252579,2.87340721419
03288;TREIGNAT;03380;;TREIGNAT;46.3483905337,2.3521991874
03289;TRETEAU;03220;;TRETEAU;46.3677104422,3.51996970707
03292;TRONGET;03240;;TRONGET;46.418633391,3.08862365583
03294;USSEL D ALLIER;03140;;USSEL D ALLIER;46.2103626484,3.18945634007
03296;VALIGNY;03360;;VALIGNY;46.7156221865,2.82039123195
03298;VARENNES SUR ALLIER;03150;;VARENNES SUR ALLIER;46.3170256578,3.40012828582
03300;VAUMAS;03220;;VAUMAS;46.4484082735,3.6241176484
03310;VICHY;03200;;VICHY;46.1300051383,3.42442081174
03311;VICQ;03450;;VICQ;46.1471274068,3.09596954152
03317;VIPLAIX;03370;;VIPLAIX;46.461810965,2.36975422763
03319;VOUSSAC;03140;;VOUSSAC;46.3256833709,3.07336455653
04019;BARCELONNETTE;04400;;BARCELONNETTE;44.3785614205,6.65215089713
04021;BARRAS;04380;;BARRAS;44.1006575617,6.09850212835
04023;BAYONS;04250;ASTOIN;BAYONS;44.3249277264,6.17282537759
04023;BAYONS;04250;REYNIER;BAYONS;44.3249277264,6.17282537759
04024;BEAUJEU;04420;;BEAUJEU;44.2185950386,6.37119806932
04033;UBAYE SERRE PONCON;04340;ST VINCENT LES FORTS;UBAYE SERRE PONCON;44.4434662119,6.28924750363
04039;CASTELLANE;04120;;CASTELLANE;43.8449862174,6.49029842016
04042;CASTELLET LES SAUSSES;04320;;CASTELLET LES SAUSSES;44.0403038573,6.73450900533
04045;CERESTE;04280;;CERESTE;43.8503161664,5.58976926214
04047;CHAMPTERCIER;04660;;CHAMPTERCIER;44.096935134,6.14456451427
04049;CHATEAU ARNOUX ST AUBAN;04600;ST AUBAN;CHATEAU ARNOUX ST AUBAN;44.0854706133,5.99239535024
04068;DAUPHIN;04300;;DAUPHIN;43.8932434369,5.776452248
